cislo_obce;nazev_obce;volici;vydane_obalky;platne_hlasy;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Unie H.A.V.E.L.;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
538043;Babice;732;533;531;128;0;1;0;0;6;24;0;79;12;1;0;2;0;0;56;1;20;5;51;48;0;80;17;0;0
538051;Bašť;1409;966;961;239;0;0;1;2;40;16;1;212;5;4;3;2;0;2;61;1;22;17;66;84;0;139;39;1;4
534684;Borek;242;170;170;64;0;0;1;0;5;0;1;27;2;0;0;0;0;0;15;0;2;1;1;15;0;24;11;0;1
538086;Bořanovice;627;440;440;103;0;0;1;1;36;4;1;110;4;5;0;0;0;1;18;1;6;4;32;26;0;63;23;0;1
538094;Brandýs nad Labem-Stará Boleslav;13374;8625;8580;2311;11;9;3;16;462;275;10;1326;91;66;5;2;8;9;581;20;179;113;676;639;6;1246;488;2;26
538108;Brázdim;533;374;373;111;0;0;0;1;26;8;0;49;4;4;1;0;2;0;23;3;5;4;36;17;0;64;15;0;0
564869;Březí;375;241;241;71;0;0;0;0;6;14;1;37;6;3;0;0;1;0;14;0;6;3;8;29;0;33;8;0;1
538132;Čelákovice;9011;6016;5977;1485;10;3;2;16;337;197;5;1044;41;42;5;4;4;8;326;9;86;82;486;466;0;903;359;1;56
533254;Černé Voděrady;288;195;193;61;0;0;0;0;14;3;0;19;1;2;0;0;0;0;13;0;5;4;21;7;0;28;11;0;4
538141;Čestlice;497;360;360;110;0;0;1;0;9;12;0;58;4;6;0;0;0;2;23;0;7;6;23;31;1;49;17;0;1
565008;Dobročovice;209;148;147;33;1;0;0;0;5;0;0;29;2;1;1;0;0;0;17;0;8;0;16;13;0;14;7;0;0
538167;Dobřejovice;686;520;506;135;1;1;0;1;27;14;0;92;1;5;0;1;0;0;36;0;12;9;33;48;0;69;21;0;0
564885;Doubek;328;236;235;43;0;0;0;0;12;4;0;53;3;0;0;0;1;0;25;1;7;7;13;23;0;32;10;0;1
538191;Dřevčice;560;364;362;90;0;0;0;2;14;8;0;59;16;5;0;0;4;1;24;1;4;3;29;24;0;54;23;0;1
534781;Dřísy;732;471;469;163;0;0;0;1;17;24;1;78;1;0;0;0;0;3;32;0;7;8;44;16;0;50;23;0;1
564915;Herink;346;262;259;63;0;0;0;0;3;10;0;60;1;0;0;0;1;0;21;0;9;6;21;17;0;44;3;0;0
565989;Hlavenec;266;198;197;71;1;0;0;0;7;0;0;30;1;7;1;0;1;0;8;0;2;2;6;20;1;31;8;0;0
538221;Horoušany;934;676;669;157;3;1;0;0;27;18;1;87;3;6;1;0;0;2;44;2;10;10;68;61;0;130;37;0;1
538230;Hovorčovice;1669;1230;1221;305;0;0;1;1;55;33;5;268;6;7;0;1;3;0;96;5;28;14;107;107;0;142;37;0;0
538248;Hrusice;601;375;374;86;1;0;0;0;10;19;0;60;3;8;0;2;0;1;43;1;5;5;27;24;0;63;16;0;0
538256;Husinec;1054;769;762;157;1;2;0;0;29;41;1;119;17;3;1;0;1;0;57;2;12;10;37;96;0;144;32;0;0
538264;Jenštejn;665;479;475;78;1;0;0;0;24;22;0;91;3;2;0;0;0;0;46;0;8;16;43;47;0;75;19;0;0
533378;Jevany;577;410;405;90;0;1;0;0;26;8;0;85;2;4;0;0;0;1;30;3;6;3;15;47;0;52;27;0;5
538272;Jirny;1918;1390;1383;272;0;0;0;2;56;47;2;272;11;11;3;1;1;2;103;6;23;22;124;131;1;219;71;0;3
538281;Kaliště;219;145;144;48;0;1;0;0;4;2;0;20;1;0;0;0;0;0;10;0;3;3;16;9;0;20;7;0;0
538299;Kamenice;3334;2271;2254;521;0;2;1;1;96;73;2;411;19;15;1;5;2;3;184;4;46;50;168;194;2;346;103;0;5
564974;Káraný;604;405;400;123;0;0;0;0;13;6;0;85;1;5;0;1;0;0;15;1;4;6;32;29;0;62;17;0;0
538311;Klecany;2453;1617;1609;325;1;1;1;2;78;60;3;253;18;8;0;2;1;5;157;4;31;30;115;143;1;313;57;0;0
538329;Klíčany;269;166;166;53;0;1;0;0;13;4;1;29;1;3;0;0;0;0;6;0;1;1;14;8;0;23;8;0;0
513628;Klokočná;205;153;153;36;0;3;0;0;10;6;0;29;0;1;0;0;0;1;12;0;1;3;10;15;1;21;3;0;1
531553;Konětopy;236;152;152;51;0;0;0;0;2;11;0;32;0;5;0;0;0;0;11;0;1;1;10;3;0;12;13;0;0
564761;Konojedy;185;116;116;35;0;0;0;0;4;2;0;11;2;1;0;0;0;1;7;0;2;1;12;2;0;32;3;0;1
533416;Kostelec nad Černými lesy;2840;1806;1805;479;3;0;2;4;141;47;1;289;4;10;1;2;5;9;125;3;22;31;153;144;2;223;96;0;9
538370;Kostelec u Křížků;541;396;394;101;0;0;0;0;15;13;1;65;1;2;0;0;1;0;42;0;6;4;26;33;0;65;17;0;2
536130;Kostelní Hlavno;351;233;233;89;1;1;1;0;20;9;3;31;2;2;0;2;0;0;9;1;1;2;9;9;0;30;11;0;0
533432;Kozojedy;638;469;467;103;0;0;0;1;22;11;0;82;0;3;0;2;0;2;48;3;11;1;43;35;1;78;19;0;2
534960;Křenek;213;134;134;27;1;0;0;0;5;8;0;26;1;1;0;0;0;0;5;0;3;0;18;12;0;13;11;0;3
564991;Křenice;520;399;392;74;1;1;0;2;8;6;1;101;3;2;0;0;0;2;34;1;13;1;19;33;0;69;18;0;3
538418;Křížkový Újezdec;163;130;129;30;1;1;0;0;4;4;0;43;1;1;0;0;1;1;7;1;2;0;13;6;0;11;1;1;0
538426;Kunice;1049;783;776;181;0;0;0;5;19;14;1;154;11;4;0;0;1;0;56;2;10;8;71;78;1;131;28;0;1
564982;Květnice;1053;809;805;138;0;0;1;2;17;39;2;184;5;5;1;0;2;0;53;2;14;18;60;95;0;120;43;1;3
538914;Lázně Toušeň;1039;674;671;168;1;1;0;0;40;29;1;107;10;5;0;0;0;2;37;2;12;6;69;40;1;105;33;0;2
534986;Lhota;356;253;252;68;0;0;0;1;5;4;0;62;0;2;0;0;0;0;11;1;10;1;16;23;0;31;16;0;1
538442;Líbeznice;1763;1245;1235;258;1;0;0;0;50;20;1;431;6;1;0;1;1;0;63;3;24;19;86;72;0;157;41;0;0
538451;Louňovice;805;621;619;146;1;2;0;0;17;19;0;110;5;1;0;0;0;2;48;0;24;9;44;66;0;102;21;2;0
538469;Máslovice;300;224;222;65;0;0;0;3;21;1;0;16;1;2;0;0;0;0;24;1;3;3;27;8;0;31;16;0;0
538477;Měšice;1405;944;933;236;2;0;0;1;40;16;2;216;8;5;1;2;2;1;43;0;10;9;64;88;0;142;44;1;0
538485;Mirošovice;904;641;639;153;1;1;2;1;14;22;3;103;7;5;0;1;1;2;71;2;13;2;48;47;0;123;17;0;0
538493;Mnichovice;2688;1941;1933;407;0;4;0;2;80;90;4;309;16;11;0;2;4;0;284;3;39;34;118;172;1;270;77;0;6
598267;Modletice;356;219;219;52;0;0;0;0;13;3;0;30;2;2;0;1;0;0;28;0;2;4;13;25;0;40;4;0;0
538507;Mochov;784;505;504;163;1;0;1;0;25;9;1;71;6;1;0;1;1;0;27;3;6;6;50;28;0;60;29;0;15
538515;Mratín;898;599;599;152;0;0;0;0;28;5;0;140;5;2;0;0;2;0;26;1;13;11;65;40;0;69;40;0;0
538523;Mukařov;1736;1279;1265;284;1;2;1;3;55;34;2;231;7;8;3;0;0;3;145;1;26;27;96;119;0;151;60;0;6
538540;Nehvizdy;1893;1308;1304;358;0;1;1;3;49;39;1;237;8;4;0;1;0;4;78;1;32;14;100;121;1;170;60;1;20
538558;Nová Ves;849;588;587;132;0;1;2;0;18;11;1;131;8;5;0;0;1;0;27;1;8;14;56;42;1;101;22;1;4
538566;Nový Vestec;358;258;258;75;0;0;0;1;14;7;0;54;3;1;2;0;2;1;16;0;1;0;9;26;0;37;9;0;0
533548;Nučice;306;201;199;48;0;0;0;1;19;3;0;14;1;0;0;0;0;1;28;3;5;5;18;15;0;24;12;0;2
564907;Nupaky;922;619;617;168;0;0;0;0;15;16;1;77;4;0;0;0;1;0;53;2;10;4;52;57;1;124;31;0;1
538574;Odolena Voda;4373;2875;2851;711;1;1;0;3;194;88;4;369;27;31;2;3;13;8;178;18;41;56;217;207;3;468;199;2;7
533564;Oleška;761;460;459;170;0;0;0;3;31;11;1;34;2;3;0;0;3;1;28;2;5;4;56;24;0;44;37;0;0
538582;Ondřejov;1205;853;852;190;0;1;0;3;44;66;2;135;5;13;2;0;1;0;108;1;11;13;75;68;1;94;17;1;1
571679;Oplany;84;57;57;12;0;0;0;0;4;0;0;9;0;0;0;0;0;1;7;0;1;0;1;6;0;13;3;0;0
538604;Panenské Břežany;418;276;275;64;0;0;0;0;10;3;2;63;2;3;0;0;3;1;22;1;5;5;25;16;0;41;8;0;1
